sender_username,reciever_username,message,channel
@merchant,@seller,How can I contact customer support?,instagram
@helloworld,@ashdev,Can I track my order?,whatsapp
@buyer,@customer,Do you have discounts available?,whatsapp
@ashdev,@helloworld,Is there a warranty on this product?,whatsapp
@helloworld,@seller,Do you have discounts available?,whatsapp
@ashdev,@helloworld,Can I track my order?,whatsapp
@seller,@shopper,What is the return policy?,instagram
@customer,@seller,When will my order arrive?,whatsapp
@vendor,@ashdev,Is there a warranty on this product?,whatsapp
@customer,@seller,How are you doing?,instagram
@seller,@vendor,Do you have discounts available?,email
@ashdev,@ashdev,Do you have discounts available?,instagram
@ashdev,@buyer,Do you have this item in stock?,facebook
@ashdev,@helloworld,What payment methods do you accept?,email
@helloworld,@ashdev,How can I contact customer support?,whatsapp
@merchant,@helloworld,How can I contact customer support?,whatsapp
@buyer,@buyer,When will my order arrive?,facebook
@seller,@shopper,Do you have discounts available?,instagram
@shopper,@merchant,Do you have this item in stock?,instagram
@seller,@customer,Do you ship internationally?,whatsapp
@meowcat,@helloworld,What is the return policy?,whatsapp
@helloworld,@meowcat,What payment methods do you accept?,facebook
@shopper,@meowcat,When will my order arrive?,instagram
@meowcat,@merchant,Can I track my order?,instagram
@customer,@ashdev,Do you ship internationally?,whatsapp
@vendor,@seller,Do you ship internationally?,email
@merchant,@customer,What payment methods do you accept?,whatsapp
@merchant,@shopper,Do you have this item in stock?,email
@customer,@shopper,What is the return policy?,whatsapp
@customer,@meowcat,What payment methods do you accept?,whatsapp
@merchant,@merchant,How are you doing?,email
@meowcat,@vendor,What payment methods do you accept?,email
@vendor,@customer,Do you have this item in stock?,email
@buyer,@helloworld,What is the return policy?,email
@helloworld,@helloworld,Do you ship internationally?,email
@meowcat,@bogoman,Can I track my order?,facebook
@shopper,@vendor,Do you have this item in stock?,instagram
@shopper,@merchant,What payment methods do you accept?,facebook
@ashdev,@bogoman,How can I contact customer support?,instagram
@ashdev,@vendor,How are you doing?,email
@seller,@ashdev,When will my order arrive?,email
@buyer,@helloworld,Do you have discounts available?,whatsapp
@customer,@buyer,What is the return policy?,whatsapp
@shopper,@vendor,What payment methods do you accept?,facebook
@customer,@merchant,What payment methods do you accept?,email
@merchant,@buyer,Can I track my order?,instagram
@merchant,@customer,When will my order arrive?,instagram
@customer,@buyer,Can I track my order?,instagram
@bogoman,@customer,Do you ship internationally?,whatsapp
@customer,@seller,How are you doing?,facebook
@meowcat,@vendor,Do you have discounts available?,email
@buyer,@merchant,Do you have this item in stock?,instagram
@buyer,@ashdev,What payment methods do you accept?,instagram
@merchant,@bogoman,Is there a warranty on this product?,whatsapp
@seller,@buyer,What is the return policy?,instagram
@merchant,@customer,Can I track my order?,email
@buyer,@meowcat,Do you ship internationally?,whatsapp
@seller,@merchant,Do you have this item in stock?,instagram
@ashdev,@buyer,Do you ship internationally?,email
@vendor,@buyer,Is there a warranty on this product?,facebook
@vendor,@meowcat,When will my order arrive?,instagram
@buyer,@customer,Is there a warranty on this product?,instagram
@merchant,@bogoman,Is there a warranty on this product?,whatsapp
@seller,@customer,How are you doing?,whatsapp
